added,,,,deleted,,,,,revised,,,
id,start time,anaphora added,,id ,start time,anaphora,num deleted,,id,start time,anaphora,revision
16963,656.516101,his,,21015,300,that,1,,17402,475.773799,it,changed 2 to 14
17402,301.596335,that,,,,,,,17402,476.689058,it,changed 14 to 2
17402,424.717199,she,,,,,,,17402,987.193219,he,changed 9 to 5
17402,1162.279758,he,,,,,,,17406,420.328808,it,changed 10 to 0
17406,293.435607,she,,,,,,,,,,
17406,325.948098,she,,,,,,,,,,
17406,716.534634,those,,,,,,,,,,
17406,719.168847,them,,,,,,,,,,
17527,621.176806,her,,,,,,,,,,
17527,627.278506,his,,,,,,,,,,
