subID,MCDI ProdTotal,anaphora utterance rate,child-driven prop,visual cue prop,parent speech rate,anaphora use ratio,overall accuracy,one accuracy,split accuracy,pronoun accuracy,verbal cue accuracy,parent instigated accuracy,extra cue accuracy,required extra cue accuracy,not required extra cue accuracy
1204,81,1.367730345,0.777777778,1,15.04503379,0.090909091,0.666666667,0,0,0.666666667,0.625,0,0.666666667,1,0.625
1219,88,3.01545978,0.551724138,0.586206897,18.21337707,0.165562914,0.793103448,0,0,0.821428571,0.857142857,0.846153846,0.823529412,0.833333333,0.8
1220,92,4.577309699,0.730769231,0.307692308,16.84839528,0.271676301,0.557692308,0.8,0,0.531914894,0.347826087,0.714285714,0.6875,0.636363636,0.8
1222,114,2.638885942,0.838709677,0.35483871,16.03630688,0.164556962,0.870967742,0,0,0.870967742,0.896551724,0.8,0.909090909,1,0.875
1230,127,4.905245343,0.610169492,0.661016949,22.54526225,0.217573222,0.576271186,0.75,0.25,0.692307692,0.48,0.652173913,0.58974359,0.611111111,0.333333333
1231,143,4.004227136,0.558139535,0.511627907,13.67297071,0.292857143,0.604651163,1,0.5,0.6,0.571428571,0.473684211,0.545454545,0.529411765,0.6
1216,156,3.795056231,0.939393939,0.060606061,11.38516869,0.333333333,0.636363636,0,1,0.586206897,0.6,1,1,1,1
1212,226,6.886117765,0.567901235,0.419753086,15.79216341,0.436046512,0.75308642,1,1,0.736842105,0.777777778,0.8,0.823529412,0.85,0.785714286
1223,254,7.898089673,0.19,0.7,21.69475265,0.3640553,0.63,0.833333333,0.666666667,0.6,0.604938272,0.679012346,0.7,0.692307692,0.704545455
1211,295,8.154138046,0.705882353,0.485294118,17.85475055,0.456692913,0.764705882,0,0,0.764705882,0.75,0.75,0.818181818,0.818181818,0.818181818
1226,306,8.777203719,0.43697479,0.630252101,23.17863506,0.378676471,0.512605042,0.285714286,0.25,0.537037037,0.568181818,0.318181818,0.533333333,0.391304348,0.75862069
1218,411,7.336515283,0.324675325,0.571428571,18.22295731,0.402597403,0.454545455,0,0,0.466666667,0.442622951,0.461538462,0.5,0.75,0.40625
1227,443,5.977760493,0.386363636,0.522727273,20.53897195,0.291044776,0.681818182,0.2,0,0.805555556,0.75862069,0.592592593,0.565217391,0.5625,0.571428571
1202,505,2.745669975,0.470588235,0.411764706,11.41169083,0.240601504,0.705882353,1,0.5,0.724137931,0.608695652,0.666666667,0.714285714,0.8,0.666666667
