KID,subID,age
18625,1201,24.3
16963,1202,20.7
17275,1204,18.2
17718,1205,18.1
19357,1206,17.5
17406,1207,25.3
17662,1208,15.2
18459,1209,16.2
17402,1210,19.2
18796,1211,24.2
17757,1212,21.7
18419,1213,17.3
19505,1214,18.5
17592,1215,18.2
17874,1216,17.8
17527,1218,21.5
17565,1219,19.7
17843,1220,19.6
19812,1221,21.6
17782,1222,22.1
17608,1223,21.8
17933,1224,17.9
19536,1225,21.1
17848,1226,18.4
18431,1227,22
18068,1228,17.9
18100,1229,16.3
18742,1230,17.7
17919,1231,22.1
19615,1232,14.1
19954,1233,12.3
18996,1234,15.9
19544,1235,13.8
19694,1236,15.2
21015,1237,13
19859,1238,14.4
