subID,age,parent speech rate,anaphora utterance rate,anaphora use ratio,child-driven prop,visual cue prop,overall accuracy,one accuracy,split accuracy,pronoun accuracy,verbal cue accuracy,parent instigated accuracy,extra cue accuracy,required extra cue accuracy,not required extra cue accuracy
1233,12.3,20.82087341,3.339196679,0.160377358,0.15,0.75,0.75,1,0,0.736842105,0.666666667,0.823529412,0.733333333,0.75,0.666666667
1237,13,9.600082282,2.447079797,0.254901961,0.230769231,0.538461539,0.769230769,0,0,0.833333333,1,0.8,0.857142857,0.833333333,1
1235,13.8,9.418703077,2.05159869,0.217821782,0.636363636,0.454545455,0.454545455,0.5,0,0.444444444,0.285714286,0.375,0.5,0.428571429,0.666666667
1232,14.1,9.93016624,2.952211585,0.297297297,0.625,0.375,0.5,0,0,0.52173913,0.5,0.444444444,0.444444444,0.444444444,0
1208,15.2,16.90992205,3.731844866,0.220689655,0.352941177,0.588235294,0.764705882,0.333333333,0.5,0.827586207,0.833333333,0.818181818,0.8,0.8,0.8
1236,15.2,12.71602594,4.128579852,0.324675325,0.285714286,0.5,0.392857143,0.333333333,0,0.4,0.428571429,0.3,0.428571429,0.6,0
1234,15.9,16.59894462,5.779989645,0.348214286,0.744186047,0.465116279,0.627906977,0,0,0.627906977,0.631578947,0.909090909,1,1,1
1209,16.2,16.08177906,2.010222383,0.125,0.125,0.875,0.25,0,0,0.25,0.5,0.285714286,0.285714286,0.285714286,0
1229,16.3,20.66616301,4.419930818,0.213872832,0.525,0.9,0.75,0,0,0.75,0.785714286,0.578947368,0.75,0.636363636,0.8
1213,17.3,16.79232071,3.970277376,0.236434109,0.47761194,0.52238806,0.567164179,0.857142857,0.307692308,0.595744681,0.52173913,0.542857143,0.542857143,0.555555556,0.5
1206,17.5,17.56209672,5.105260673,0.290697674,0.35483871,0.774193548,0.903225806,1,0,0.892857143,0.8,0.85,0.875,0.857142857,1
1230,17.7,22.54526225,4.905245343,0.217573222,0.610169492,0.661016949,0.576271186,0.75,0.25,0.692307692,0.48,0.652173913,0.58974359,0.611111111,0.333333333
1216,17.8,11.38516869,3.795056231,0.333333333,0.939393939,0.060606061,0.636363636,0,1,0.586206897,0.6,1,1,1,1
1224,17.9,13.55871829,3.766310636,0.277777778,0.771428571,0.285714286,0.657142857,1,1,0.625,0.64,0.75,0.9,0.888888889,1
1228,17.9,22.82261724,4.067397132,0.178217822,0.85,0.35,0.45,0,0,0.45,0.333333333,0.666666667,0.714285714,0.6,1
1205,18.1,11.68453744,1.897488986,0.162393162,0.105263158,0.947368421,0.631578947,1,0,0.611111111,0.666666667,0.647058824,0.611111111,0.611111111,0
1204,18.2,15.04503379,1.367730345,0.090909091,0.777777778,1,0.666666667,0,0,0.666666667,0.625,0,0.666666667,1,0.625
