subID,age,MCDI ProdTotal,MCDI ProdCountNoun,total utt,num anaphora,runtime,parent speech rate,anaphora utterance rate,anaphora use ratio,child-driven prop,visual cue prop,overall accuracy,one accuracy,split accuracy,pronoun accuracy,verbal cue accuracy,parent instigated accuracy,extra cue accuracy,required extra cue accuracy,not required extra cue accuracy
1201,24.3,-,-,112,23,10.19936803,10.98107252,2.255041678,0.205357143,0.36,0.52,0.6,0,0,0.6,0.636363636,0.4375,0.615384615,0.428571429,0.833333333
1202,20.7,505,196,133,32,11.65471462,11.41169083,2.745669975,0.240601504,0.470588235,0.411764706,0.705882353,1,0.5,0.724137931,0.608695652,0.666666667,0.714285714,0.8,0.666666667
1204,18.2,81,33,77,7,5.1179679,15.04503379,1.367730345,0.090909091,0.777777778,1,0.666666667,0,0,0.666666667,0.625,0,0.666666667,1,0.625
1205,18.1,44,16,117,19,10.01323335,11.68453744,1.897488986,0.162393162,0.105263158,0.947368421,0.631578947,1,0,0.611111111,0.666666667,0.647058824,0.611111111,0.611111111,0
1206,17.5,9,4,86,25,4.8969096,17.56209672,5.105260673,0.290697674,0.35483871,0.774193548,0.903225806,1,0,0.892857143,0.8,0.85,0.875,0.857142857,1
1207,25.3,66,26,172,55,10.77545923,15.96219672,5.104190812,0.319767442,0.267857143,0.339285714,0.482142857,1,0,0.472727273,0.529411765,0.536585366,0.368421053,0.3125,0.666666667
1208,15.2,-,-,145,32,8.574847333,16.90992205,3.731844866,0.220689655,0.352941177,0.588235294,0.764705882,0.333333333,0.5,0.827586207,0.833333333,0.818181818,0.8,0.8,0.8
1209,16.2,76,36,64,8,3.9796592,16.08177906,2.010222383,0.125,0.125,0.875,0.25,0,0,0.25,0.5,0.285714286,0.285714286,0.285714286,0
1210,19.2,80,34,125,29,15.53579703,8.045934158,1.866656725,0.232,0.081081081,0.513513514,0.702702703,0,0.555555556,0.75,0.75,0.735294118,0.736842105,0.7,0.777777778
1211,24.2,295,127,127,58,7.112952917,17.85475055,8.154138046,0.456692913,0.705882353,0.485294118,0.764705882,0,0,0.764705882,0.75,0.75,0.818181818,0.818181818,0.818181818
1212,21.7,226,94,172,75,10.89147798,15.79216341,6.886117765,0.436046512,0.567901235,0.419753086,0.75308642,1,1,0.736842105,0.777777778,0.8,0.823529412,0.85,0.785714286
1213,17.3,16,1,258,61,15.36416583,16.79232071,3.970277376,0.236434109,0.47761194,0.52238806,0.567164179,0.857142857,0.307692308,0.595744681,0.52173913,0.542857143,0.542857143,0.555555556,0.5
1214,18.5,42,13,118,27,7.564873667,15.59840986,3.56912768,0.228813559,0.481481482,0.666666667,0.444444444,1,0,0.347826087,0.333333333,0.428571429,0.444444444,0.4,0.666666667
1215,18.2,30,2,60,14,7.996753233,7.50304508,1.750710519,0.233333333,0.166666667,0.722222222,0.5,0,0,0.5,0.583333333,0.466666667,0.538461538,0.333333333,1
1216,17.8,156,80,93,31,8.168521917,11.38516869,3.795056231,0.333333333,0.939393939,0.060606061,0.636363636,0,1,0.586206897,0.6,1,1,1,1
1218,21.5,411,154,154,62,8.4508786,18.22295731,7.336515283,0.402597403,0.324675325,0.571428571,0.454545455,0,0,0.466666667,0.442622951,0.461538462,0.5,0.75,0.40625
1219,19.7,88,39,151,25,8.290609667,18.21337707,3.01545978,0.165562914,0.551724138,0.586206897,0.793103448,0,0,0.821428571,0.857142857,0.846153846,0.823529412,0.833333333,0.8
1220,19.6,92,43,173,47,10.2680402,16.84839528,4.577309699,0.271676301,0.730769231,0.307692308,0.557692308,0.8,0,0.531914894,0.347826087,0.714285714,0.6875,0.636363636,0.8
1221,21.6,45,19,75,22,5.487712633,13.66689639,4.008956276,0.293333333,0.565217391,0.434782609,0.608695652,0.666666667,1,0.578947368,0.714285714,0.5,0.6,0.4,0.8
1222,22.1,114,46,158,26,9.852642583,16.03630688,2.638885942,0.164556962,0.838709677,0.35483871,0.870967742,0,0,0.870967742,0.896551724,0.8,0.909090909,1,0.875
1223,21.8,254,114,217,79,10.00241872,21.69475265,7.898089673,0.3640553,0.19,0.7,0.63,0.833333333,0.666666667,0.6,0.604938272,0.679012346,0.7,0.692307692,0.704545455
1224,17.9,25,5,108,30,7.965354667,13.55871829,3.766310636,0.277777778,0.771428571,0.285714286,0.657142857,1,1,0.625,0.64,0.75,0.9,0.888888889,1
1225,21.1,22,8,138,45,10.00833168,13.78851185,4.496253865,0.326086957,0.347826087,0.673913044,0.695652174,1,0,0.681818182,0.75,0.6,0.612903226,0.565217391,0.75
1226,18.4,306,114,272,103,11.73494467,23.17863506,8.777203719,0.378676471,0.43697479,0.630252101,0.512605042,0.285714286,0.25,0.537037037,0.568181818,0.318181818,0.533333333,0.391304348,0.75862069
1227,22,443,155,134,39,6.524182433,20.53897195,5.977760493,0.291044776,0.386363636,0.522727273,0.681818182,0.2,0,0.805555556,0.75862069,0.592592593,0.565217391,0.5625,0.571428571
1228,17.9,44,23,101,18,4.4254346,22.82261724,4.067397132,0.178217822,0.85,0.35,0.45,0,0,0.45,0.333333333,0.666666667,0.714285714,0.6,1
1229,16.3,36,9,173,37,8.37117175,20.66616301,4.419930818,0.213872832,0.525,0.9,0.75,0,0,0.75,0.785714286,0.578947368,0.75,0.636363636,0.8
1230,17.7,127,68,239,52,10.60089687,22.54526225,4.905245343,0.217573222,0.610169492,0.661016949,0.576271186,0.75,0.25,0.692307692,0.48,0.652173913,0.58974359,0.611111111,0.333333333
1231,22.1,143,77,140,41,10.2391794,13.67297071,4.004227136,0.292857143,0.558139535,0.511627907,0.604651163,1,0.5,0.6,0.571428571,0.473684211,0.545454545,0.529411765,0.6
1232,14.1,-,-,74,22,7.4520404,9.93016624,2.952211585,0.297297297,0.625,0.375,0.5,0,0,0.52173913,0.5,0.444444444,0.444444444,0.444444444,0
1233,12.3,-,-,106,17,5.091044833,20.82087341,3.339196679,0.160377358,0.15,0.75,0.75,1,0,0.736842105,0.666666667,0.823529412,0.733333333,0.75,0.666666667
1234,15.9,-,-,112,39,6.747416933,16.59894462,5.779989645,0.348214286,0.744186047,0.465116279,0.627906977,0,0,0.627906977,0.631578947,0.909090909,1,1,1
1235,13.8,-,-,101,22,10.72334473,9.418703077,2.05159869,0.217821782,0.636363636,0.454545455,0.454545455,0.5,0,0.444444444,0.285714286,0.375,0.5,0.428571429,0.666666667
1236,15.2,-,-,77,25,6.055350967,12.71602594,4.128579852,0.324675325,0.285714286,0.5,0.392857143,0.333333333,0,0.4,0.428571429,0.3,0.428571429,0.6,0
1237,13,-,-,51,13,5.312454467,9.600082282,2.447079797,0.254901961,0.230769231,0.538461539,0.769230769,0,0,0.833333333,1,0.8,0.857142857,0.833333333,1
1238,14.4,-,-,9,0,3.099462867,2.903728932,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,mean,15.16814395,4.022159336,0.257034629,0.460925444,0.539433759,0.620295867,0.444557823,0.215140415,0.625780619,0.62225235,0.607154229,0.663870003,0.65443604,0.676357674
,,,,,,stdev,4.721336986,2.01630424,0.09533096,0.245069023,0.219041306,0.142287877,0.445659776,0.34737554,0.154517087,0.170024873,0.211461567,0.177048345,0.211431582,0.297074173
,,,,,,min,2.903728932,0,0,0,0,0.25,0,0,0.25,0.285714286,0,0.285714286,0.285714286,0
,,,,,,max,23.17863506,8.777203719,0.456692913,0.939393939,1,0.903225806,1,1,0.892857143,1,1,1,1,1
