#,,base:cevent_speech_anaphora-referent,,,,,cevent_eye_roi_child,,,,,,cevent_eye_roi_parent,,,,,
#,,,,,,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,
#,,,,,,,target,other,target,other,target,other,target,other,target,other,target,other
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
1201,12,37.99,39.538,9,1,1,0,0.89234,0,0.69072,0,77.514,0.56285,0.092647,0.87135,0.14343,38.757,38.757
1201,12,43.427,45.176,9,1,2,1,0,1.7488,0,34.309,0,0,0.58066,0,0.50773,0,68.619
1201,12,54.398,55.373,21,1,3,0.48086,0,0.46871,0,61.555,0,0,0.51505,0,0.50204,0,61.555
1201,12,69.726,71.389,21,1,4,1,0,1.6628,0,36.084,0,1,0,1.6628,0,36.084,0
1201,12,128.08,129.68,26,1,5,0,0,0,0,0,0,0,0.58135,0,0.31111,0,112.12
1201,12,138.89,141.6,26,1,6,0,0,0,0,0,0,0,0,0,0,0,0
1201,12,148.99,151.01,26,1,7,0,0.36198,0,0.73333,0,29.616,0,1,0,2.0259,0,29.616
1201,12,154.15,154.85,17,1,8,0,0,0,0,0,0,0,0.5007,0,0.17704,0,169.69
1201,12,163.05,163.91,17,1,9,1,0,0.86006,0,69.762,0,1,0,0.86006,0,69.762,0
1201,12,187.54,190.5,25,1,10,0,0.8432,0,2.4979,0,20.254,0,0,0,0,0,0
1201,12,196.18,197.09,25,1,11,1,0,0.90784,0,66.091,0,0.83528,0,0.7583,0,66.091,0
1201,12,229.63,231.28,17,1,12,1,0,1.6532,0,36.293,0,1,0,1.6532,0,36.293,0
1201,12,237.93,239.7,17,1,13,1,0,1.7775,0,33.756,0,1,0,1.7775,0,33.756,0
1201,12,254.63,255.81,17,1,14,0.012399,0.87508,0.014693,1.0369,50.634,50.634,0,1,0,1.185,0,50.634
1201,12,399,400.48,15,2,15,0.38951,0.58798,0.57696,0.87093,40.507,40.507,0,1,0,1.4812,0,40.507
1201,12,452.49,454.94,26,2,16,0,0.73766,0,0.60153,0,73.578,0,1,0,2.4464,0,24.526
1201,12,452.49,454.94,26,2,17,0,0.73766,0,0.60153,0,73.578,0,1,0,2.4464,0,24.526
1201,12,478.5,479.28,14,2,18,1,0,0.77405,0,77.514,0,0.25373,0.61708,0.1964,0.23883,77.514,155.03
1201,12,489.61,490.68,14,2,19,0,0,0,0,0,0,0,0.69598,0,0.37246,0,112.12
1201,12,527.84,531.65,21,2,20,0.59048,0.25416,2.2458,0.96667,15.775,15.775,1,0,3.8034,0,15.775,0
1201,12,527.84,531.65,21,2,21,0.59048,0.25416,2.2458,0.96667,15.775,15.775,1,0,3.8034,0,15.775,0
1201,12,542.21,543.15,1,2,22,1,0,0.94607,0,63.42,0,1,0,0.94607,0,63.42,0
1201,12,568.78,570.14,1,2,23,0.55416,0.27021,0.75199,0.36667,44.216,44.216,0.0036785,0.65242,0.0049917,0.88533,44.216,44.216
1201,12,571.52,572.62,1,2,24,1,0,1.099,0,54.597,0,0,1,0,1.099,0,54.597
1201,12,574.84,576.6,1,2,25,1,0,1.7583,0,34.123,0,0,0.81421,0,0.71584,0,68.246
1202,12,34.804,36.131,20,1,1,1,0,1.3272,0,45.206,0,1,0,1.3272,0,45.206,0
1202,12,46.546,49.219,20,1,2,1,0,2.6729,0,22.447,0,0,0,0,0,0,0
1202,12,54.418,55.192,20,1,3,0,0.37683,0,0.29176,0,77.497,0,1,0,0.77423,0,77.497
1202,12,65.377,66.354,6,1,4,1,0,0.977,0,61.412,0,1,0,0.977,0,61.412,0
1202,12,69.1,70.28,6,1,5,0.096019,0.87573,0.11328,1.0332,50.857,50.857,0,1,0,1.1798,0,50.857
1202,12,72.381,73.423,6,1,6,1,0,1.0415,0,57.608,0,0.72194,0,0.75192,0,57.608,0
1202,12,102.14,103,6,1,7,0.5331,0.23332,0.45696,0.2,69.997,69.997,0,0.34999,0,0.3,0,69.997
1202,12,103.76,104.29,23,1,8,0,1,0,0.53458,0,112.24,0,0.74824,0,0.4,0,112.24
1202,12,105.88,106.47,23,1,9,1,0,0.58989,0,101.71,0,0.88845,0,0.52408,0,101.71,0
1202,12,158.02,158.99,20,1,10,1,0,0.977,0,61.413,0,1,0,0.977,0,61.413,0
1202,12,223.05,224.91,18,1,11,1,0,1.8618,0,32.226,0,0.5979,0,1.1132,0,32.226,0
1202,12,226.15,227.78,18,1,12,0.54252,0.41661,0.88508,0.67966,36.778,36.778,0.58339,0.35531,0.95174,0.57966,36.778,36.778
1202,12,243.35,243.9,21,1,13,1,0,0.55302,0,108.5,0,1,0,0.55302,0,108.5,0
1202,12,251.75,254.08,21,1,14,0.45076,0.33397,0.52349,0.38785,51.664,51.664,0.80955,0.046942,1.8803,0.10903,25.832,25.832
1202,12,264.95,266.25,22,1,15,0.86026,0.088439,1.118,0.11493,46.168,46.168,0,0.92337,0,1.2,0,46.168
1202,12,266.84,267.84,24,1,16,0.50562,0.36043,0.50331,0.35879,60.275,60.275,0,0,0,0,0,0
1202,12,289.06,291.04,17,1,17,0.37347,0.1521,0.73665,0.3,30.419,30.419,0.59317,0.1859,1.17,0.36667,30.419,30.419
1202,12,292.8,293.83,8,1,18,0,0.8755,0,0.45189,0,116.25,0,0.83489,0,0.86186,0,58.123
1202,12,292.8,293.83,17,1,19,0,0.8755,0,0.45189,0,116.25,0.83489,0,0.86186,0,58.123,0
1202,12,292.8,293.83,24,1,20,0,0.8755,0,0.45189,0,116.25,0,0.83489,0,0.86186,0,58.123
1202,12,299.95,302.14,8,1,21,0,0.5359,0,1.1756,0,27.352,0.35773,0.61188,0.78474,1.3422,27.352,27.352
1202,12,299.95,302.14,17,1,22,0,0.5359,0,1.1756,0,27.352,0,0.96961,0,1.0635,0,54.704
1202,12,299.95,302.14,24,1,23,0.5359,0,1.1756,0,27.352,0,0.61188,0.35773,1.3422,0.78474,27.352,27.352
1202,12,308.62,309.65,8,1,24,0,1,0,1.0323,0,58.123,0,0,0,0,0,0
1202,12,308.62,309.65,17,1,25,0,1,0,1.0323,0,58.123,0,0,0,0,0,0
1202,12,308.62,309.65,24,1,26,1,0,1.0323,0,58.123,0,0,0,0,0,0,0
1202,12,325.22,326.11,8,1,27,0,0.65374,0,0.57845,0,67.81,0,1,0,0.88483,0,67.81
1202,12,325.22,326.11,17,1,28,0,0.65374,0,0.57845,0,67.81,0,1,0,0.88483,0,67.81
1202,12,325.22,326.11,24,1,29,0,0.65374,0,0.57845,0,67.81,0,1,0,0.88483,0,67.81
1202,12,385.51,387.21,9,1,30,0,1,0,1.7051,0,35.188,0.8153,0,1.3902,0,35.188,0
1202,12,388.5,389.84,9,1,31,0.30352,0.69648,0.40845,0.93723,44.587,44.587,0.052439,0.47064,0.070566,0.63333,44.587,44.587
1202,12,392.74,394.87,9,1,32,0,0.31191,0,0.33204,0,56.361,0,0.95303,0,0.67637,0,84.542
1202,12,392.74,394.87,9,1,33,0,0.31191,0,0.33204,0,56.361,0,0.95303,0,0.67637,0,84.542
1202,12,509.69,510.81,8,1,34,1,0,1.1245,0,53.358,0,0.13157,0,0.14794,0,53.358,0
