subID,age,Child Anaphora Resolution Accuracy,parent correct avg,Child Anaphora Resolution Accuracy (%),
1201,24.3,0.6,0.4,60,
1202,20.7,0.571428571,0.523809524,57.1428571,
1204,18.2,0.666666667,0.888888889,66.6666667,
1205,18.1,0.631578947,0.736842105,63.1578947,
1206,17.5,0.903225806,0.903225806,90.3225806,
1207,25.3,0.482142857,0,48.2142857,
1208,15.2,0.75,0.694444444,75,
1209,16.2,0.25,0.375,25,
1210,19.2,0.6875,0.604166667,68.75,
1211,24.2,0.764705882,0.779411765,76.4705882,
1212,21.7,0.743902439,0.792682927,74.3902439,
1213,17.3,0.442307692,0.480769231,44.2307692,
1214,18.5,0.444444444,0.777777778,44.4444444,
1215,18.2,0.5,0.444444444,50,
1216,17.8,0.621621622,0.621621622,62.1621622,
1218,21.5,0.443037975,0.481012658,44.3037975,
1219,19.7,0.793103448,0.655172414,79.3103448,
1220,19.6,0.480769231,0.653846154,48.0769231,
1221,21.6,0.583333333,0.541666667,58.3333333,
1222,22.1,0.870967742,0.838709677,87.0967742,
1223,21.8,0.60952381,0.571428571,60.952381,
1224,17.9,0.666666667,0.666666667,66.6666667,
1225,21.1,0.695652174,0.826086957,69.5652174,
1226,18.4,0.4921875,0.640625,49.21875,
1227,22,0.62745098,0.431372549,62.745098,
1228,17.9,0.45,0.5,45,
1229,16.3,0.75,0.75,75,
1230,17.7,0.411290323,0.411290323,41.1290323,
1231,22.1,0.608695652,0.695652174,60.8695652,
1232,14.1,0.48,0.32,48,
1233,12.3,0.75,0.95,75,
1234,15.9,0.627906977,0.76744186,62.7906977,
1235,13.8,0.454545455,0.545454545,45.4545455,
1236,15.2,0.392857143,0,39.2857143,
1237,13,0.769230769,0.769230769,76.9230769,
,,,0.60110692,60.0478403,MEAN
,,,,14.94189855,STD
,,,,60.952381,med
,,,,90.3225806,
,,,,25,
