subID,age,MCDI ProdTotal,MCDI ProdCountNoun,total num utt,total num anaphora,anaphora/total utt,percent one,percent split,percent pronoun,percent verbal,percent visual,overall accuracy,one accuracy,split accuracy,pronoun accuracy,verbal cue accuracy,visual cue accuracy,Resolution Accuracy Score,,t=0.1
1201,24.3,-,-,112,25,22.32142857,0,0,100,44,56,60,0,0,0.6,0.636363636,0.571428571,0.6,,
1202,20.7,505,196,133,34,25.56390977,2.9411765,11.7647059,85.2941176,67.6470588,32.3529412,70.5882353,1,0.5,0.724137931,0.608695652,0.909090909,0.705882353,,
1204,18.2,81,33,77,9,11.68831169,0,0,100,88.8888889,11.1111111,66.6666667,0,0,0.666666667,0.625,1,0.666666667,,
1205,18.1,44,16,117,19,16.23931624,5.2631579,0,94.7368421,47.3684211,52.6315789,63.1578947,1,0,0.611111111,0.666666667,0.6,0.631578947,,
1206,17.5,9,4,86,31,36.04651163,9.6774194,0,90.3225806,48.3870968,51.6129032,90.3225806,1,0,0.892857143,0.8,1,0.903225806,,
1207,25.3,66,26,172,56,32.55813953,1.7857143,0,98.2142857,60.7142857,39.2857143,48.2142857,1,0,0.472727273,0.529411765,0.409090909,0.482142857,,
1208,15.2,-,-,145,34,23.44827586,8.8235294,5.8823529,85.2941176,52.9411765,47.0588235,76.4705882,0.333333333,0.5,0.827586207,0.833333333,0.6875,0.764705882,,
1209,16.2,76,36,64,8,12.5,0,0,100,25,75,25,0,0,0.25,0.5,0.166666667,0.25,,
1210,19.2,80,34,125,37,29.6,0,24.3243243,75.6756757,75.6756757,24.3243243,70.2702703,0,0.555555556,0.75,0.75,0.555555556,0.702702703,,
1211,24.2,295,127,127,68,53.54330709,0,0,100,70.5882353,29.4117647,76.4705882,0,0,0.764705882,0.75,0.8,0.764705882,,
1212,21.7,226,94,172,82,47.6744186,4.8780488,1.2195122,93.902439,54.8780488,45.1219512,74.3902439,1,1,0.727272727,0.777777778,0.702702703,0.743902439,,
1213,17.3,16,1,258,67,25.96899225,10.4477612,19.4029851,70.1492537,68.6567164,31.3432836,56.7164179,0.857142857,0.307692308,0.595744681,0.52173913,0.666666667,0.567164179,,
1214,18.5,42,13,118,27,22.88135593,14.8148148,0,85.1851852,22.2222222,77.7777778,44.4444444,1,0,0.347826087,0.333333333,0.476190476,0.444444444,,
1215,18.2,30,2,60,18,30,0,0,100,66.6666667,33.3333333,50,0,0,0.5,0.583333333,0.333333333,0.5,,
1216,17.8,156,80,93,33,35.48387097,0,12.1212121,87.8787879,45.4545455,54.5454545,63.6363636,0,1,0.586206897,0.6,0.666666667,0.636363636,,
1218,21.5,411,154,154,77,50,0,2.5974026,97.4025974,79.2207792,20.7792208,45.4545455,0,0,0.466666667,0.442622951,0.5,0.454545455,,
1219,19.7,88,39,151,29,19.20529801,3.4482759,0,96.5517241,48.2758621,51.7241379,79.3103448,0,0,0.821428571,0.857142857,0.733333333,0.793103448,,
1220,19.6,92,43,173,52,30.05780347,9.6153846,0,90.3846154,44.2307692,55.7692308,48.0769231,0.8,0,0.446808511,0.260869565,0.655172414,0.480769231,,
