subID,age,MCDI ProdTotal,MCDI ProdCountNoun,total num anaphora,percent one,percent split,percent pronoun,percent verbal,percent visual,percent parent instigated,percent child instigated,percent extra cues,percent no extra cue,percent not required of total anaphora,percent required of total anaphora,percent not required of total extra cues,percent required of total extra cues,overall accuracy,one accuracy,split accuracy,pronoun accuracy,verbal cue accuracy,visual cue accuracy,parent instigated accuracy,extra cue accuracy,required extra cue accuracy,not required extra cue accuracy
1212,21.7,226,94,81,4.938271605,1.234567901,93.82716049,55.55555556,44.44444444,43.20987654,56.79012346,41.97530864,58.02469136,17.28395062,24.69135802,41.17647059,58.82352941,0.75308642,1,1,0.736842105,0.777777778,0.722222222,0.8,0.823529412,0.85,0.785714286
1206,17.5,9,4,31,9.677419355,0,90.32258065,48.38709677,51.61290323,64.51612903,35.48387097,77.41935484,22.58064516,9.677419355,67.74193548,12.5,87.5,0.903225806,1,0,0.892857143,0.8,1,0.85,0.875,0.857142857,1
1227,22,443,155,44,11.36363636,6.818181818,81.81818182,65.90909091,34.09090909,61.36363636,38.63636364,52.27272727,47.72727273,15.90909091,36.36363636,30.43478261,69.56521739,0.681818182,0.2,0,0.805555556,0.75862069,0.533333333,0.592592593,0.565217391,0.5625,0.571428571
1233,12.3,-,-,20,5,0,95,60,40,85,15,75,25,15,60,20,80,0.75,1,0,0.736842105,0.666666667,0.875,0.823529412,0.733333333,0.75,0.666666667
1219,19.7,88,39,29,3.448275862,0,96.55172414,48.27586207,51.72413793,44.82758621,55.17241379,58.62068966,41.37931034,17.24137931,41.37931034,29.41176471,70.58823529,0.793103448,0,0,0.821428571,0.857142857,0.733333333,0.846153846,0.823529412,0.833333333,0.8
1221,21.6,45,19,23,13.04347826,4.347826087,82.60869565,60.86956522,39.13043478,43.47826087,56.52173913,43.47826087,56.52173913,21.73913043,21.73913043,50,50,0.608695652,0.666666667,1,0.578947368,0.714285714,0.444444444,0.5,0.6,0.4,0.8
1235,13.8,-,-,22,18.18181818,0,81.81818182,31.81818182,68.18181818,36.36363636,63.63636364,45.45454545,54.54545455,13.63636364,31.81818182,30,70,0.454545455,0.5,0,0.444444444,0.285714286,0.533333333,0.375,0.5,0.428571429,0.666666667
1214,18.5,42,13,27,14.81481481,0,85.18518519,22.22222222,77.77777778,51.85185185,48.14814815,66.66666667,33.33333333,11.11111111,55.55555556,16.66666667,83.33333333,0.444444444,1,0,0.347826087,0.333333333,0.476190476,0.428571429,0.444444444,0.4,0.666666667
1207,25.3,66,26,56,1.785714286,0,98.21428571,60.71428571,39.28571429,73.21428571,26.78571429,33.92857143,66.07142857,5.357142857,28.57142857,15.78947368,84.21052632,0.482142857,1,0,0.472727273,0.529411765,0.409090909,0.536585366,0.368421053,0.3125,0.666666667
1213,17.3,16,1,67,10.44776119,19.40298507,70.14925373,68.65671642,31.34328358,52.23880597,47.76119403,52.23880597,47.76119403,11.94029851,40.29850746,22.85714286,77.14285714,0.567164179,0.857142857,0.307692308,0.595744681,0.52173913,0.666666667,0.542857143,0.542857143,0.555555556,0.5
