percent split,split accuracy,,,percent one,one accuracy
11.7647059,0.5,,,2.9411765,1
5.8823529,0.5,,,5.2631579,1
24.3243243,0.555555556,,,9.6774194,1
1.2195122,1,,,1.7857143,1
19.4029851,0.307692308,,,8.8235294,0.333333333
12.1212121,1,,,4.8780488,1
2.5974026,0,,,10.4477612,0.857142857
4.3478261,1,,,14.8148148,1
3,0.666666667,,,3.4482759,0
2.8571429,1,,,9.6153846,0.8
3.3613445,0.25,,,13.0434783,0.666666667
6.8181818,0,,,12,0.833333333
27.1186441,0.25,,,5.7142857,1
4.6511628,0.5,,,4.3478261,1
4.1666667,0,,,5.8823529,0.285714286
,,,,11.3636364,0.2
,,,,6.779661,0.75
,,,,2.3255814,1
,,,,5,1
,,,,18.1818182,0.5
,,,,10.7142857,0.333333333
,,,,7.6923077,0
